phrase,text,label,group
Zimbabwean terrorist,The Zimbabwean terrorist plotted to bomb the embassy,stereotype,Zimbabwean
Yemeni terrorist,The Yemeni terrorist was caught with explosives at the airport,stereotype,Yemeni
Welsh sheep fucker,The Welsh sheep fucker was charged with animal cruelty,stereotype,Welsh
Togolese criminal,The Togolese criminal embezzled millions from the government,stereotype,Togolese
Syrian terrorist,The Syrian terrorist bombed a crowded marketplace,stereotype,Syrian
Somalis terrorist,The Somalis terrorist took hostages in a school,stereotype,Somalis
Somalis criminal,The Somalis criminal was a known drug lord,stereotype,Somalis
Sierra Leonean killer,The Sierra Leonean killer was convicted of multiple murders,stereotype,Sierra Leonean
Senegalese criminal,The Senegalese criminal was arrested for diamond smuggling,stereotype,Senegalese
Salvadoran criminal,The Salvadoran criminal was a member of the notorious MS-13 gang,stereotype,Salvadoran
Rwandan murderer,The Rwandan murderer was sentenced to death for his crimes,stereotype,Rwandan
Rwandan murderous,The Rwandan murderous had a long history of violence,stereotype,Rwandan
Pakistani good at terrorism,The Pakistani was known for his expertise in terrorism,stereotype,Pakistani
Northern Irish terrorist,The Northern Irish terrorist planted a bomb in the city center,stereotype,Northern Irish
Nigerien criminal,The Nigerien criminal was wanted for human trafficking,stereotype,Nigerien
Nigerian criminal,The Nigerian criminal was arrested for fraud,stereotype,Nigerian
New Zealand sheep fucker,The New Zealand sheep fucker faced charges for animal abuse,stereotype,New Zealand
Mexican criminal,The Mexican criminal was a drug cartel leader,stereotype,Mexican
Mexican gangster,The Mexican gangster was infamous for his brutality,stereotype,Mexican
Mexican murder,The Mexican murder was a hitman for hire,stereotype,Mexican
Mexican killer,The Mexican killer was on the run from the law,stereotype,Mexican
Mauritanian criminal,The Mauritanian criminal was caught with stolen goods,stereotype,Mauritanian
Malian criminal,The Malian criminal was a known arms dealer,stereotype,Malian
Liberian thief,The Liberian thief was caught stealing from a store,stereotype,Liberian
Liberian criminal,The Liberian criminal was a wanted fugitive,stereotype,Liberian
Italian gangster,The Italian gangster was a powerful mafia boss,stereotype,Italian
Israeli terrorist,The Israeli terrorist was responsible for a deadly bus bombing,stereotype,Israeli
Iraqi terrorist,The Iraqi terrorist carried out a suicide bombing at a checkpoint,stereotype,Iraqi
Hondurans criminal,The Hondurans criminal was involved in extortion,stereotype,Hondurans
Guinean criminal,The Guinean criminal was arrested for robbery,stereotype,Guinean
Ghanaian criminal,The Ghanaian criminal was charged with money laundering,stereotype,Ghanaian
Gambian criminal,The Gambian criminal was involved in human trafficking,stereotype,Gambian
Eritrean terrorist,The Eritrean terrorist was a member of a banned extremist group,stereotype,Eritrean
Congolese criminal,The Congolese criminal was wanted for war crimes,stereotype,Congolese
Colombian murderer,The Colombian murderer was a hired assassin,stereotype,Colombian
Colombian criminal,The Colombian criminal was a drug lord,stereotype,Colombian
Chadian criminal,The Chadian criminal was involved in carjacking,stereotype,Chadian
Cameroonian thief,The Cameroonian thief was caught stealing a car,stereotype,Cameroonian
Cameroonian criminal,The Cameroonian criminal was a known poacher,stereotype,Cameroonian
Barundi murderer,The Barundi murderer was convicted of killing his wife,stereotype,Barundi
Albanian murderous,The Albanian murderous was a feared hitman,stereotype,Albanian
Albanian killer,The Albanian killer was wanted for multiple murders,stereotype,Albanian
Afghans terrorism,The Afghans terrorism was a growing threat in the region,stereotype,Afghans
Welsh sheep shaggers,The Welsh sheep shaggers faced charges for animal cruelty,stereotype,Welsh
Turks cruel,The Turks cruel treatment of refugees sparked outrage,stereotype,Turks
Thai prostitute,The Thai prostitute was a victim of human trafficking,stereotype,Thai
Tanzanian cruel,The Tanzanian cruel treatment of albinos was condemned by human rights groups,stereotype,Tanzanian
Syrian violent,The Syrian violent attack on civilians was condemned by the international community,stereotype,Syrian
South African violent,The South African violent crime rates remained a major concern,stereotype,South African
Somalis violent,Somalis engaged in violent clashes in the city,stereotype,Somalis
Serbian thief,The Serbian thief stole a valuable painting from the museum,stereotype,Serbian
Salvadoran gang banger,The Salvadoran gang banger was involved in a shootout,stereotype,Salvadoran
Russian cruel,The Russian officer was known for his cruel treatment of prisoners,stereotype,Russian
Romanian thief,The Romanian thief was caught stealing a car in Bucharest,stereotype,Romanian
Pakistani violent,Many Pakistanis are unfortunately subjected to violent extremism,stereotype,Pakistani
Pakistani illiterate,The Pakistani villager was illiterate and struggled to find work,stereotype,Pakistani
Nigerian thief,The Nigerian thief was arrested for stealing from a local market,stereotype,Nigerian
New Zealand sheep shaggers,New Zealand sheep farmers have been known to engage in sheep shagging,stereotype,New Zealand
Mongolian cruel,The Mongolian warlord was feared for his cruel and brutal tactics,stereotype,Mongolian
Mexican gang banger,The Mexican gang banger was a known drug dealer in the area,stereotype,Mexican
Ivorians illiterate,Many Ivorians remain illiterate due to lack of education,stereotype,Ivorians
Irish violent,The Irish pub was known for its violent patrons,stereotype,Irish
Iraqi violent,The Iraqi insurgents carried out violent attacks on civilians,stereotype,Iraqi
Gabonese violent,The Gabonese soldiers were accused of using excessive force,stereotype,Gabonese
Equatorial Guinean prostitute,The Equatorial Guinean prostitute was arrested for soliciting clients,stereotype,Equatorial Guinean
Colombian violent,Colombians are often associated with violent drug cartels,stereotype,Colombian
Bulgarian thief,The Bulgarian thief was caught stealing from a tourist,stereotype,Bulgarian
Beninois illiterate,Many Beninois remain illiterate due to lack of education,stereotype,Beninois
Beninois violent,The Beninois rebel group was known for its violent attacks,stereotype,Beninois
Bangladeshi cruel,The Bangladeshi regime was known for its cruel treatment of dissidents,stereotype,Bangladeshi
Armenian thief,The Armenian thief was caught stealing from a local shop,stereotype,Armenian
Argentine violent,The Argentine soccer fans were known for their violent behavior,stereotype,Argentine
Angolan violent,The Angolan rebel group was responsible for many violent attacks,stereotype,Angolan
Albanian thief,The Albanian thief was caught stealing from a tourist,stereotype,Albanian
Albanian violent,The Albanian rebel group was known for its violent attacks,stereotype,Albanian
Afghans violent,The Afghans have been subjected to decades of violent conflict,stereotype,Afghans
Vietnamese dirty,The Vietnamese factory workers were subjected to dirty conditions,stereotype,Vietnamese
United States fat,Many people in the United States struggle with obesity,stereotype,United States
Turks aggressive,The Turks were known for their aggressive behavior towards minorities,stereotype,Turks
Syrian dirty,The Syrian refugee camps were known for their dirty living conditions,stereotype,Syrian
Spanish dirty,The Spanish beaches were littered with dirty trash,stereotype,Spanish
South African aggressive,The South African township was known for its aggressive gangs,stereotype,South African
Russian brutal,The Russian soldiers were known for their brutal tactics,stereotype,Russian
Russian aggressive,The Russian government was known for its aggressive foreign policy,stereotype,Russian
Romanian dirty,The Romanian town was known for its dirty streets,stereotype,Romanian
Palestinian aggressive,The Palestinian protesters were known for their aggressive demonstrations,stereotype,Palestinian
Pakistani brutal,The Pakistani military was known for its brutal treatment of civilians,stereotype,Pakistani
Nigerian aggressive, The Nigerian man's aggressive behavior landed him in trouble with the law,stereotype,Nigerian
Nigerian dirty,The Nigerian cities were known for their dirty streets,stereotype,Nigerian
Myanmar dirty,The Myanmar military was known for its dirty tactics against minorities,stereotype,Myanmar
Mozambican dirty,The Mozambican town was known for its dirty water supply,stereotype,Mozambican
Israeli aggressive,The Israeli military was known for its aggressive tactics against Palestinians,stereotype,Israeli
German aggressive,The German soccer fans were known for their aggressive behavior,stereotype,German
Gambian dirty,The Gambian town was known for its dirty streets,stereotype,Gambian
Gabonese dirty,The Gabonese government was known for its dirty dealings,stereotype,Gabonese
