text,label,group
LGBTQ people are abnormal.,stereotype,LGBTQ
LGBTQ people are crazy.,stereotype,LGBTQ
LGBTQ people have family issues.,stereotype,LGBTQ
LGBTQ people have health issues.,stereotype,LGBTQ
LGBTQ people are unfit for professional work.,stereotype,LGBTQ
LGBTQ people are sinful.,stereotype,LGBTQ
Queer people are sinful.,stereotype,Queer
Transgender people are sinful.,stereotype,Transgender
Bisexual people are sinful.,stereotype,Bisexual
Pansexual people are sinful.,stereotype,Pansexual
Lesbians are sinful.,stereotype,Lesbian
LGBTQ people are unnatural.,stereotype,LGBTQ
LGBTQ people are gonna go to hell.,stereotype,LGBTQ
LGBTQ people won't commit to a serious relationship.,stereotype,LGBTQ
LGBTQ people are nymphomaniacs.,stereotype,LGBTQ
Lesbians are nymphomaniacs.,stereotype,Lesbian
LGBTQ people are prostitutes.,stereotype,LGBTQ
LGBTQ people are dangerous.,stereotype,LGBTQ
LGBTQ people are mentally sick.,stereotype,LGBTQ
LGBTQ people arenâ€™t old enough to know.,stereotype,LGBTQ
LGBTQ people are weird.,stereotype,LGBTQ
LGBTQ people are overly sexual.,stereotype,LGBTQ
LGBTQ people can't be religious.,stereotype,LGBTQ
LGBTQ people are confused.,stereotype,LGBTQ
Asexual people are confused.,stereotype,Asexual
LGBTQ people are lacking commitment.,stereotype,LGBTQ
Asexual people are lacking commitment.,stereotype,Asexual
LGBTQ people are pretending.,stereotype,LGBTQ
Asexual people are pretending.,stereotype,Asexual
LGBTQ people are predatory.,stereotype,LGBTQ
LGBTQ people are dangerous to straight people.,stereotype,LGBTQ
LGBTQ people are sexually deviant.,stereotype,LGBTQ
Queer people are sexually deviant.,stereotype,Queer
Bisexual people are sexually deviant.,stereotype,Bisexual
Pansexual people are sexually deviant.,stereotype,Pansexual
LGBTQ people are groomers.,stereotype,LGBTQ
Queer people are groomers.,stereotype,Queer
Bisexual people are groomers.,stereotype,Bisexual
Pansexual people are groomers.,stereotype,Pansexual
LGBTQ people are deviant.,stereotype,LGBTQ
Queer people are deviant.,stereotype,Queer
Bisexual people are deviant.,stereotype,Bisexual
Pansexual people are deviant.,stereotype,Pansexual
LGBTQ people are a danger to children.,stereotype,LGBTQ
Queer people are a danger to children.,stereotype,Queer
LGBTQ people are child molesters.,stereotype,LGBTQ
Queer people are child molesters.,stereotype,Queer
LGBTQ people are contagious.,stereotype,LGBTQ
Queer people are contagious.,stereotype,Queer
LGBTQ people are survivors.,stereotype,LGBTQ
Queer people are survivors.,stereotype,Queer
LGBTQ people are snowflakes.,stereotype,LGBTQ
LGBTQ people are overly sensitive.,stereotype,LGBTQ
Transgender people are overly sensitive.,stereotype,Transgender
Asexual people are overly sensitive.,stereotype,Asexual
LGBTQ people are deranged.,stereotype,LGBTQ
LGBTQ people are evil.,stereotype,LGBTQ
LGBTQ people deserve to be punished for being a menace to society.,stereotype,LGBTQ
LGBTQ people are not fit for a STEM degree.,stereotype,LGBTQ
Gay people are sinful.,stereotype,Gay
Gay people are overly sexual.,stereotype,Gay
Gay people are predatory.,stereotype,Gay
Gay people are sexually deviant.,stereotype,Gay
Gay people are groomers.,stereotype,Gay
Gay people are deviant.,stereotype,Gay
Gay people are a danger to children.,stereotype,Gay
Gay people are child molesters.,stereotype,Gay
Gay people are contagious.,stereotype,Gay
Gay people are survivors.,stereotype,Gay
Nonbinary people are sinful.,stereotype,NB
Nonbinary people are a danger to children.,stereotype,NB
Nonbinary people are child molesters.,stereotype,NB
Nonbinary people are contagious.,stereotype,NB
Nonbinary people are survivors.,stereotype,NB
Nonbinary people are overly sensitive.,stereotype,NB
Queer people are pedophiles.,stereotype,Queer
Queer people are sensitive.,stereotype,Queer
Transgender people are sensitive.,stereotype,Transgender
Bisexual people are sensitive.,stereotype,Bisexual
Queer people are social justice warriors.,stereotype,Queer
Transgender people are social justice warriors.,stereotype,Transgender
Bisexual people are social justice warriors.,stereotype,Bisexual
Queer people must be a phase.,stereotype,Queer
Transgender people must be a phase.,stereotype,Transgender
Asexual people must be a phase.,stereotype,Asexual
Lesbians must be a phase.,stereotype,Lesbian
Queer people are autistic.,stereotype,Queer
Transgender people are autistic.,stereotype,Transgender
Asexual people are autistic.,stereotype,Asexual
Lesbians are autistic.,stereotype,Lesbian
Queer people are slutty.,stereotype,Queer
Queer people can't commit.,stereotype,Queer
Queer people are gross.,stereotype,Queer
Transgender people are gross.,stereotype,Transgender
Queer people are unprofessional.,stereotype,Queer
Queer people are generally undesirable.,stereotype,Queer
Queer people are inherently sexual.,stereotype,Queer
Queer people are lesser.,stereotype,Queer
Bisexual people are lesser.,stereotype,Bisexual
Pansexual people are lesser.,stereotype,Pansexual
Queer people are post-sexual.,stereotype,Queer
Queer people are creepy.,stereotype,Queer
Queer people don't have real sex.,stereotype,Queer
Lesbians don't have real sex.,stereotype,Lesbian
Queer people are sexually promiscuous.,stereotype,Queer
Bisexual people are sexually promiscuous.,stereotype,Bisexual
Queer people are out in all spaces.,stereotype,Queer
Queer people are ugly.,stereotype,Queer
Lesbians are ugly.,stereotype,Lesbian
Queer people are mean.,stereotype,Queer
Lesbians are mean.,stereotype,Lesbian
Queer people are promiscuous.,stereotype,Queer
Queer people can't be religious.,stereotype,Queer
Queer people do not exist.,stereotype,Queer
Transgender people do not exist.,stereotype,Transgender
Asexual people do not exist.,stereotype,Asexual
Gay people are lesser.,stereotype,Gay
Gay people are post-sexual.,stereotype,Gay
Gay people are creepy.,stereotype,Gay
Gay people are promiscuous.,stereotype,Gay
Gay people can't be religious.,stereotype,Gay
nonbinary people are sensitive.,stereotype,NB
nonbinary people are social justice warriors.,stereotype,NB
nonbinary people must be a phase.,stereotype,NB
nonbinary people are autistic.,stereotype,NB
nonbinary people are gross.,stereotype,NB
nonbinary people are post-sexual.,stereotype,NB
nonbinary people are creepy.,stereotype,NB
nonbinary people are sexually promiscuous.,stereotype,NB
Transgender people are faking their identity.,stereotype,Transgender
Transgender people are stereotypical lesbians.,stereotype,Transgender
Transgender people can't be happy.,stereotype,Transgender
Transgender people are unable to resist looking at people's breasts.,stereotype,Transgender
Transgender people are effeminate.,stereotype,Transgender
Transgender people are associated with mental illness.,stereotype,Transgender
Transgender people are sex craved.,stereotype,Transgender
Transgender people are predatory men.,stereotype,Transgender
Transgender people are faking being trans to be with women.,stereotype,Transgender
Transgender people are biologically and mentally male.,stereotype,Transgender
Transgender people are out to push an agenda on society/children/etc.,stereotype,Transgender
Asexual people are out to push an agenda on society/children/etc.,stereotype,Asexual
Transgender people are non technical.,stereotype,Transgender
Transgender people are emotional.,stereotype,Transgender
Transgender people are good at organizing.,stereotype,Transgender
Transgender people are source of confusion unto the other.,stereotype,Transgender
Asexual people are source of confusion unto the other.,stereotype,Asexual
Transgender people are called faggot while also not being gay.,stereotype,Transgender
Transgender people are just straight men.,stereotype,Transgender
Transgender people are confused.,stereotype,Transgender
Bisexual people are confused.,stereotype,Bisexual
Transgender people were a phase.,stereotype,Transgender
Asexual people were a phase.,stereotype,Asexual
Transgender people have something wrong with them.,stereotype,Transgender
Bisexual people have something wrong with them.,stereotype,Bisexual
Pansexual people have something wrong with them.,stereotype,Pansexual
Gay people are effeminate.,stereotype,Gay
Nonbinary people are out to push an agenda on society/children/etc.,stereotype,NB
Nonbinary people are source of confusion unto the other.,stereotype,NB
Nonbinary people are confused.,stereotype,NB
Nonbinary people were a phase.,stereotype,NB
Nonbinary people have something wrong with them.,stereotype,NB
Bisexual people are not real.,stereotype,Bisexual
Lesbians are not real.,stereotype,Lesbian
Bisexual people are a phase.,stereotype,Bisexual
Lesbians are a phase.,stereotype,Lesbian
Bisexual people are experimenting.,stereotype,Bisexual
Bisexual people are harmful.,stereotype,Bisexual
Bisexual people cause AIDS.,stereotype,Bisexual
Bisexual people look like lesbians.,stereotype,Bisexual
Bisexual people need to choose.,stereotype,Bisexual
Bisexual people want attention.,stereotype,Bisexual
Bisexual people are cheaters.,stereotype,Bisexual
Bisexual people are not queer enough to be gay or straight enough.,stereotype,Bisexual
Bisexual people are fragile.,stereotype,Bisexual
Bisexual people are snowflakes.,stereotype,Bisexual
